date,daily_return,cumulative_return
2025-08-12,-0.006485290023713258,0.8553874570242417
2025-08-13,-0.006191192601321477,0.85009158852905
2025-08-14,-0.00822884479635752,0.8430963167843554
2025-08-15,-0.005240883494037701,0.8386777472138363
2025-08-18,0.00710259018807638,0.8446345315521552
2025-08-19,0.0013092593520814266,0.8457403772116807
2025-08-20,0.010830667637381733,0.8549003101447743
2025-08-21,0.008926799206247504,0.8625318335547955
2025-08-22,-0.0052316972348463026,0.85801932814622
2025-08-25,-0.007658008937045241,0.8514486084631187
2025-08-26,0.0056555650826413395,0.8562640314828062
2025-08-27,-0.00041838632189400426,0.8559057823241039
2025-08-28,-0.004828873889941923,0.8517727212395887
2025-08-29,-0.0022312544383286392,0.8498721995748756
2025-09-02,-0.0044744358910171755,0.84606950090232
2025-09-03,0.002524997419857608,0.8482058242091186
2025-09-04,0.006314425054281189,0.853561756316692
2025-09-05,0.005940174630308271,0.8586320622069658
2025-09-08,0.017132169493673535,0.8733422922293979
2025-09-09,-0.002918584273526495,0.8707933691498915
2025-09-10,-0.0026482709890316702,0.8684872723329307
2025-09-11,-0.004967053366464733,0.8641734497031576
2025-09-12,-0.00309653202782266,0.8614975089385577
2025-09-15,0.009255350363042064,0.8694709702206721
2025-09-16,-0.002913107920673036,0.866938107450527
2025-09-17,0.002313400155325358,0.8689436822029605
2025-09-18,0.003293905813775075,0.871805900849612
2025-09-19,-0.0025309049174736253,0.8695994430080691
2025-09-22,-0.0018921817208951133,0.8679540028375087
2025-09-23,0.007040214637138471,0.8740645853126482
2025-09-24,0.006452760512668382,0.8797047147542755
2025-09-25,-0.0011250115687373718,0.8787150367731041
2025-09-26,-0.0031853920420705367,0.8759159848877194
2025-09-29,0.007562424763094128,0.8825400336222242
2025-09-30,-0.004779799989446665,0.8783216687788304
2025-10-01,-0.019286913590056964,0.8613815546488185
2025-10-02,-0.0019131886973796502,0.8597335691943331
2025-10-03,-0.0010248050021934713,0.8588525099320691
2025-10-06,0.005629616976603399,0.8636875206023812
2025-10-07,0.008519192399272096,0.8710454407632431
2025-10-08,-0.00011289011299431273,0.8709471083450121
2025-10-09,-0.028946876181466144,0.8457359102391431
2025-10-10,-0.026194192920565865,0.8235825406464885
2025-10-13,0.00024121910363109154,0.8237812044887095
2025-10-14,-0.00029847022844076143,0.8235353303244205
2025-10-15,-0.0056892930359922905,0.8188499965047121
2025-10-16,-0.008583425853100735,0.811821458274902
2025-10-17,0.009631393133391702,0.819640429893671
2025-10-20,0.0012635192262933637,0.820676061335489
2025-10-21,-0.006905807490627024,0.8150086304437402
2025-10-22,0.015533516387348234,0.8276685803605682
2025-10-23,-0.0028327460535407245,0.8253240054559122
2025-10-24,-0.005550930997026485,0.8207426888514369
2025-10-27,-0.0005384578437506171,0.8203007535129239
2025-10-28,0.0021354918955431706,0.8220524991239587
2025-10-29,-0.006732623727505674,0.8165179289631014
2025-10-30,-0.00014008958775207914,0.8164035433030407
2025-10-31,0.015134444178304673,0.8287593571561306
2025-11-03,-0.007811310320528647,0.8222856606363422
2025-11-04,0.005678551920498334,0.8269550524537469
2025-11-05,0.0027038021141939936,0.8291909752729149
2025-11-06,-0.012706253319116845,0.8186550646911716
2025-11-07,0.0012708312960374446,0.8196954371680406
2025-11-10,0.0028398685788912775,0.8220232644843147
2025-11-11,-0.0022260000047158446,0.8201934406936962
2025-11-12,0.002899471724966407,0.8225715683839905
2025-11-13,0.009148692466988753,0.8300970226952242
2025-11-14,-0.0035459163344001704,0.8271535681033123
2025-11-17,-0.0058384438775851,0.8223242784177969
2025-11-18,0.0064620497823794365,0.827638178842192
